Year,Month,MPS,MPS_ORTH,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
1988,2,0.0120,-0.0183,0.1510,0.0301,0.0017,-0.8200,0.0171,0.2353
1988,3,0.0131,-0.0386,0.3310,0.0321,0.0314,-0.1700,0.0277,0.7250
1988,4,0.0615,0.0095,0.0620,0.0323,0.0568,-0.2700,0.0277,0.7065
1988,5,0.1832,0.1587,-0.0800,0.0314,0.0207,0.2200,0.0319,0.4207
1988,6,0.0288,-0.0062,-0.0135,0.0313,0.0136,-0.1400,0.1283,0.1736
1988,7,0.0730,0.0299,-0.0135,0.0331,0.0504,-0.6500,0.0961,0.1621
1988,8,0.1926,0.1547,0.0350,0.0318,0.0423,-0.4800,0.0322,0.3642
1988,9,-0.0047,-0.0045,-0.0100,0.0313,-0.0035,-0.7400,-0.1183,0.1369
1988,10,0.0000,0.0000,,,,,,
1988,11,0.0968,0.0766,-0.0275,0.0300,0.0249,-0.7800,-0.0537,0.2808
1988,12,0.0501,0.0218,0.2130,0.0309,0.0290,-0.7100,-0.0090,0.2216
1989,1,0.0391,-0.0032,0.0290,0.0307,0.0313,-0.6100,0.0896,0.2555
1989,2,0.1481,0.0991,0.1530,0.0323,0.0777,-0.9800,0.0346,0.2850
1989,3,-0.0132,-0.0475,0.0465,0.0304,0.0500,-0.6800,0.0290,0.2260
1989,4,0.0000,0.0000,,,,,,
1989,5,-0.0067,-0.0329,-0.1030,0.0288,0.0766,-0.0600,0.0353,0.2401
1989,6,-0.0436,-0.0716,-0.0990,0.0277,0.1049,-0.5500,-0.0209,0.2471
1989,7,-0.0530,-0.0619,-0.0175,0.0253,0.0851,0.0200,-0.0456,0.1867
1989,8,-0.0147,-0.0175,0.0090,0.0236,0.0603,-0.0700,-0.0191,0.0107
1989,9,0.0000,0.0000,,,,,,
1989,10,0.0545,0.0447,0.0420,0.0220,0.1093,0.3200,0.0096,0.0762
1989,11,0.0252,0.0331,0.0780,0.0205,-0.0334,0.0500,0.0461,-0.1395
1989,12,-0.0203,-0.0268,0.0450,0.0198,-0.0124,-0.3200,0.0346,0.0466
1990,1,0.0000,0.0000,,,,,,
1990,2,0.0199,0.0244,0.1025,0.0187,-0.0115,0.5100,0.0251,0.1282
1990,3,-0.0159,-0.0053,0.1495,0.0185,-0.0096,0.4200,0.0003,0.0379
1990,4,0.0000,0.0000,,,,,,
1990,5,-0.0083,-0.0052,-0.3060,0.0173,0.0601,0.2300,0.0188,0.0351
1990,6,0.0000,0.0000,,,,,,
1990,7,-0.0086,-0.0113,-0.0685,0.0168,0.0578,-0.1000,-0.0270,0.1510
1990,8,0.0129,0.0233,-0.2190,0.0161,-0.0970,0.3500,0.1019,0.0283
1990,9,0.0000,0.0000,,,,,,
1990,10,0.0129,0.0111,-0.0420,0.0106,-0.1273,0.8400,0.1541,0.3823
1990,11,0.0391,0.0358,-0.0460,0.0082,-0.0645,0.1200,0.0266,0.4918
1990,12,-0.0846,-0.0767,-0.1920,0.0043,0.0143,-0.2600,-0.1020,0.4678
1991,1,-0.1011,-0.0843,0.0750,0.0030,0.0129,0.0400,-0.1684,0.5596
1991,2,-0.0681,-0.0486,-0.2300,-0.0013,0.1304,0.3700,-0.1755,0.4833
1991,3,-0.0715,-0.0582,-0.0770,-0.0064,0.1483,0.8400,-0.0676,0.3709
1991,4,-0.1440,-0.1353,-0.0600,-0.0098,0.1099,0.6800,0.0050,0.2968
1991,5,0.0179,0.0418,0.0110,-0.0121,0.0336,0.7200,-0.0156,0.2732
1991,6,0.0000,0.0000,,,,,,
1991,7,0.0182,0.0551,-0.1000,-0.0139,-0.0164,0.4500,-0.0531,0.2240
1991,8,-0.0858,-0.0666,-0.1010,-0.0140,0.0119,-0.0500,-0.0173,0.2303
1991,9,0.0320,0.0428,-0.0060,-0.0120,0.0164,-0.2900,0.0328,0.0776
1991,10,0.0189,0.0238,-0.0060,-0.0109,0.0475,-0.3200,0.0550,0.0168
1991,11,-0.0693,-0.0506,-0.0260,-0.0093,0.0094,0.2700,0.0532,0.0150
1991,12,-0.2404,-0.2061,-0.2110,-0.0085,-0.0328,0.4300,-0.0102,0.1180
1992,1,0.0000,0.0000,,,,,,
1992,2,0.0064,0.0332,0.0810,-0.0063,0.0560,0.5200,-0.0540,0.1153
1992,3,0.0000,0.0000,,,,,,
1992,4,-0.2148,-0.1932,0.1400,-0.0019,-0.0068,0.6400,0.0293,0.0581
1992,5,0.0342,0.0401,0.0510,0.0015,0.0094,0.0400,0.0295,0.1200
1992,6,0.0000,0.0000,,,,,,
1992,7,0.0461,0.0524,-0.2120,0.0035,0.0242,0.1200,0.0350,0.1326
1992,8,0.0064,0.0064,0.0880,0.0047,0.0271,-0.2400,0.0057,0.1324
1992,9,-0.0078,0.0052,-0.2330,0.0057,0.0081,-0.2300,-0.0203,0.0823
1992,10,0.0168,0.0288,-0.0070,0.0057,-0.0162,-0.0800,-0.0024,0.0885
1992,11,0.0113,0.0292,0.0020,0.0071,-0.0035,0.2800,-0.0185,0.0894
1992,12,0.0025,0.0084,0.0450,0.0090,0.0421,-0.1400,-0.0506,0.1549
1993,1,0.0000,0.0000,,,,,,
1993,2,0.0073,0.0005,-0.0270,0.0131,0.0659,-0.3400,-0.0281,0.1795
1993,3,0.0090,-0.0030,0.2430,0.0159,0.0302,-0.4500,0.0177,0.0640
1993,4,0.0000,0.0000,,,,,,
1993,5,-0.0094,-0.0163,-0.0310,0.0163,-0.0096,-0.2700,0.0272,0.1649
1993,6,0.0000,0.0000,,,,,,
1993,7,-0.0057,-0.0183,-0.1370,0.0185,0.0033,-0.4000,0.0266,0.2103
1993,8,0.0155,-0.0031,0.0120,0.0206,0.0304,-0.4500,0.0056,0.2532
1993,9,0.0028,-0.0050,-0.1890,0.0208,0.0207,-0.2600,-0.0009,0.1923
1993,10,0.0000,0.0000,,,,,,
1993,11,0.0091,-0.0033,0.0170,0.0235,0.0312,-0.1200,-0.0072,0.2342
1993,12,0.0059,-0.0043,0.0370,0.0245,0.0223,0.2200,0.0043,0.2688
1994,1,0.0000,0.0000,,,,,,
1994,2,0.1603,0.1369,-0.1180,0.0252,0.0259,0.0900,0.0604,0.3325
1994,3,-0.0457,-0.0643,0.0670,0.0245,0.0112,0.1700,0.0413,0.3194
1994,4,0.0996,0.0951,0.2265,0.0291,-0.0608,0.5400,0.0045,0.3574
1994,5,-0.0474,-0.0641,0.0920,0.0294,-0.0617,0.3700,0.0624,0.3897
1994,6,0.0000,0.0000,,,,,,
1994,7,0.0101,-0.0305,-0.0840,0.0310,0.0018,-0.3300,0.0758,0.4749
1994,8,0.0324,-0.0005,0.0490,0.0314,0.0386,-0.3500,0.0082,0.4002
1994,9,-0.0047,-0.0354,-0.0535,0.0326,0.0246,-0.2500,0.0053,0.4485
1994,10,0.0000,0.0000,,,,,,
1994,11,0.0461,0.0269,-0.0510,0.0328,0.0088,-0.1000,0.0368,0.1789
1994,12,0.0067,-0.0196,0.1000,0.0341,-0.0286,-0.7100,0.0169,0.2270
1995,1,0.0000,0.0000,,,,,,
1995,2,0.0646,0.0293,-0.0040,0.0341,0.0098,-1.0900,0.0080,0.2494
1995,3,0.0326,-0.0160,0.0860,0.0341,0.0906,-0.9400,0.0213,0.2993
1995,4,0.0000,0.0000,,,,,,
